scenario,experiment,x_value,region,metric,mdca_mean,mdca_ci95,mdca_lower,mdca_upper,dmdca_mean,dmdca_ci95,dmdca_lower,dmdca_upper,difference_dmdca_minus_mdca,intervals_overlap
arrival rate 10,load,10.0,Alabama,acceptance_ratio,0.9884636163,0.0031173317114199,0.9853462845885801,0.9915809480114199,0.98563026584,0.0031304082430835,0.9824998575969165,0.9887606740830835,-0.002833350459999995,True
arrival rate 10,load,10.0,Alabama,avg_cost_per_accepted,35.42376338754,1.30602035790299,34.11774302963701,36.72978374544299,32.42791582564,1.1123060245690175,31.31560980107098,33.540221850209015,-2.9958475619,False
arrival rate 10,load,10.0,Alabama,p95_e2e_delay_accepted,0.1271096304399999,0.0012970869929538,0.1258125434470461,0.1284067174329537,0.1331614084,0.0013956795401257,0.13176572885987428,0.1345570879401257,0.006051777960000088,False
arrival rate 10,load,10.0,Arizona,acceptance_ratio,0.99172767978,0.0026371707206556,0.9890905090593444,0.9943648505006556,0.98808798832,0.0028975982856564,0.9851903900343436,0.9909855866056564,-0.003639691459999983,True
arrival rate 10,load,10.0,Arizona,avg_cost_per_accepted,28.22806925236,0.7325236465110697,27.495545605848932,28.96059289887107,26.32249169956,0.6750504193979464,25.647441280162052,26.99754211895795,-1.9055775528000005,False
arrival rate 10,load,10.0,Arizona,p95_e2e_delay_accepted,0.12784474046,0.0024866178080857,0.1253581226519143,0.1303313582680857,0.13359928586,0.0025999576089308,0.1309993282510692,0.1361992434689308,0.005754545400000005,False
arrival rate 50,load,50.0,Alabama,acceptance_ratio,0.57306198198,0.0086172146186238,0.5644447673613763,0.5816791965986238,0.60353043204,0.008449264887627,0.595081167152373,0.611979696927627,0.030468450059999985,False
arrival rate 50,load,50.0,Alabama,avg_cost_per_accepted,29.19591994644,0.519550064997204,28.676369881442795,29.715470011437205,28.580518730940003,0.5249501079045782,28.055568623035427,29.10546883884458,-0.6154012154999968,True
arrival rate 50,load,50.0,Alabama,p95_e2e_delay_accepted,0.12171757516,0.0020115084944824,0.1197060666655176,0.12372908365448239,0.12735594984,0.0021605244061595,0.12519542543384052,0.1295164742461595,0.005638374680000016,False
arrival rate 50,load,50.0,Arizona,acceptance_ratio,0.8671807404399999,0.0097945677588792,0.8573861726811207,0.8769753081988791,0.90320668426,0.0093263828034062,0.8938803014565937,0.9125330670634062,0.03602594382000002,False
arrival rate 50,load,50.0,Arizona,avg_cost_per_accepted,39.14642444824,0.6926715103169698,38.45375293792303,39.83909595855697,38.10336742188,0.60695278636293,37.49641463551707,38.71032020824293,-1.043057026359996,True
arrival rate 50,load,50.0,Arizona,p95_e2e_delay_accepted,0.12759588568,0.0008876816374717,0.1267082040425283,0.12848356731747168,0.1349705018399999,0.0013276532210672,0.1336428486189327,0.1362981550610671,0.007374616159999903,False
SFC length 6,length,6.0,Alabama,acceptance_ratio,0.48987323568,0.0075930979821803,0.48228013769781974,0.4974663336621803,0.53914403256,0.0082916791278252,0.5308523534321747,0.5474357116878252,0.04927079687999997,False
SFC length 6,length,6.0,Alabama,avg_cost_per_accepted,84.22669435803999,2.894035609806733,81.33265874823326,87.12072996784673,80.28340462166,2.4202501709239264,77.86315445073608,82.70365479258392,-3.9432897363799952,True
SFC length 6,length,6.0,Alabama,p95_e2e_delay_accepted,0.1951018353,0.002109752362443,0.19299208293755699,0.197211587662443,0.20160574948,0.0017336485080268,0.19987210097197322,0.2033393979880268,0.006503914180000014,False
SFC length 6,length,6.0,Arizona,acceptance_ratio,0.86316923236,0.0102073209347536,0.8529619114252464,0.8733765532947536,0.8856479691600001,0.0074697772869925,0.8781781918730076,0.8931177464469926,0.02247873680000012,False
SFC length 6,length,6.0,Arizona,avg_cost_per_accepted,92.23607758066,2.7238970695225952,89.5121805111374,94.95997465018259,85.70675519938001,2.7376502114981083,82.9691049878819,88.44440541087812,-6.529322381279982,False
SFC length 6,length,6.0,Arizona,p95_e2e_delay_accepted,0.18541226256,0.0018373151586918,0.18357494740130822,0.1872495777186918,0.19626955264,0.0013638359506887,0.1949057166893113,0.1976333885906887,0.010857290079999998,False
reliability 0.999,reliability,0.999,Alabama,acceptance_ratio,0.6527365731,0.0117413438348668,0.6409952292651332,0.6644779169348668,0.78842256178,0.006282793302908,0.782139768477092,0.7947053550829081,0.13568598868000004,False
reliability 0.999,reliability,0.999,Alabama,avg_cost_per_accepted,50.74669985382,1.4457758930995992,49.3009239607204,52.1924757469196,57.35495286092,1.6752170864122808,55.67973577450772,59.03016994733228,6.608253007100004,False
reliability 0.999,reliability,0.999,Alabama,p95_e2e_delay_accepted,0.1144743983399999,0.0015687929110238,0.1129056054289761,0.11604319125102369,0.12643984408,0.0030332707776202,0.12340657330237981,0.1294731148576202,0.011965445740000108,False
reliability 0.999,reliability,0.999,Arizona,acceptance_ratio,0.6393302768,0.0120872571419714,0.6272430196580285,0.6514175339419714,0.78523432902,0.0100910656935202,0.7751432633264798,0.7953253947135203,0.14590405222000002,False
reliability 0.999,reliability,0.999,Arizona,avg_cost_per_accepted,40.43357869506,2.171911206731233,38.26166748832877,42.60548990179123,45.3293399725,1.739399426316539,43.58994054618346,47.06873939881654,4.895761277440002,False
reliability 0.999,reliability,0.999,Arizona,p95_e2e_delay_accepted,0.11750029278,0.0045265724749845,0.1129737203050155,0.1220268652549845,0.1345948762,0.0031552591304656,0.1314396170695344,0.1377501353304656,0.01709458341999999,False
