experiment,scenario,x_name,x_value,method,algo,runs,regions,accepted_requests,observed_cost_total,lb_trace_total,observed_cost_per_accepted,lb_trace_per_accepted,observed_to_lb,observed_to_lb_mean,observed_to_lb_ci95,accepted_per_run_mean,accepted_per_run_ci95,avg_cost_per_accepted_mean,avg_cost_per_accepted_ci95,avg_lb_per_accepted_mean,avg_lb_per_accepted_ci95,split_instance_count,instance_count
load,Load $\lambda=20$,arrival_rate,20.0,MDCA,mdca,10,"Alabama,Arizona",23123,881243.7568554967,378366.25000000006,38.11113423238752,16.36319897937119,2.329076012608145,2.352481667332891,0.19720255079514684,2312.3,90.50968371518168,38.31186765401,2.620718854455165,16.33794990916961,0.3010603521993143,0,120654
load,Load $\lambda=20$,arrival_rate,20.0,DMDCA,mdca,10,"Alabama,Arizona",23452,839914.0105162606,368056.5433333335,35.81417407966317,15.69403647165843,2.2820243947017276,2.297204403219797,0.2013213646967767,2345.2,67.24815570870491,35.96533620067,2.853599543490106,15.68453490146184,0.17747018867933523,38768,125160
load,Load $\lambda=35$,arrival_rate,35.0,MDCA,mdca,10,"Alabama,Arizona",35007,1356670.9621497206,526296.59,38.75427663466508,15.034038620847259,2.577768862514805,2.595557388211638,0.049031123143879425,3500.7,387.26236752304703,38.03441407598,2.822634197339148,14.699716445830214,1.297028701388238,0,171329
load,Load $\lambda=35$,arrival_rate,35.0,DMDCA,mdca,10,"Alabama,Arizona",35801,1293712.5577879336,516789.4833333334,36.136212893157555,14.435057214416732,2.5033647152480434,2.530677308382013,0.07665850141991727,3580.1,340.03002442333434,35.74629072568,1.8353283127016942,14.19470519884218,1.088118938220505,56422,179498
load,Load $\lambda=50$,arrival_rate,50.0,MDCA,mdca,10,"Alabama,Arizona",43124,1517877.5718850913,580244.17,35.197977272170746,13.455249281142752,2.6159290353319555,2.6101696078457564,0.03573738323827562,4312.4,580.1171197366576,34.17117219734,3.2760256315160516,13.08037263934005,1.191018867701287,0,194195
load,Load $\lambda=50$,arrival_rate,50.0,DMDCA,mdca,10,"Alabama,Arizona",45115,1547389.1848063353,596488.6266666672,34.29877390682335,13.22151449998154,2.594163770487204,2.5899389695739927,0.03309348129110455,4511.5,591.123294956306,33.341943076410004,3.133713873401085,12.865481342925142,1.1611794634499457,68844,211918
length,SFC length $1$,fixed_sfc_len,1.0,MDCA,mdca,10,"Alabama,Arizona",23884,193214.12929004658,114960.8,8.089688883354823,4.813297605091274,1.680695761425169,1.6800525400855624,0.09853806843102925,2388.4,26.7327522463862,8.08832768406,0.4897548794443305,4.813362118816926,0.03842750810306237,0,35836
length,SFC length $1$,fixed_sfc_len,1.0,DMDCA,mdca,10,"Alabama,Arizona",23884,182370.38968284248,109626.21999999997,7.635671984711207,4.589943895494891,1.6635654288074744,1.663146079081129,0.09047700463003923,2388.4,26.7327522463862,7.63460249929,0.42407721485867084,4.590057615104263,0.033312682141432355,7216,35836
length,SFC length $3$,fixed_sfc_len,3.0,MDCA,mdca,10,"Alabama,Arizona",22782,854590.2845037654,369787.99999999994,37.51164447826202,16.231586340093052,2.3110276280024378,2.3283847337763937,0.1660487997452496,2278.2,83.3750610834359,37.691038022529995,2.2831943658309095,16.217246094864983,0.1864800672131456,0,119293
length,SFC length $3$,fixed_sfc_len,3.0,DMDCA,mdca,10,"Alabama,Arizona",23282,819138.6886922289,360986.3499999999,35.18334716485821,15.504954471265352,2.2691680410969255,2.279099765349335,0.17561546254799654,2328.2,55.132817667882705,35.29374187676999,2.5330719487634354,15.501037054920044,0.10178219556396273,39778,124099
length,SFC length $6$,fixed_sfc_len,6.0,MDCA,mdca,10,"Alabama,Arizona",16301,1456401.8856575838,558324.49,89.3443276889506,34.25093491196859,2.6085223051161233,2.6123026612907676,0.054282057297810146,1630.1,296.23612446530257,88.23138596935,3.218004654763646,33.78204721723926,1.1069508903039067,0,183136
length,SFC length $6$,fixed_sfc_len,6.0,DMDCA,mdca,10,"Alabama,Arizona",17165,1436039.5682752368,561080.9933333336,83.66091280368406,32.687503252743,2.559415815787753,2.5706322155319796,0.05696804439644453,1716.5,275.50846667369206,82.99507991052,2.471002191254099,32.308462477637015,1.0155309825434815,63992,196028
reliability,Reliability $0.990$,fixed_reliability,0.99,MDCA,mdca,10,"Alabama,Arizona",14025,662257.9529853695,302019.94,47.219818394678754,21.534398573975043,2.192762348689194,2.1973288962260713,0.20961481064916193,1402.5,17.104985368144703,47.303021671210004,4.461550404632584,21.5339039747804,0.1537887545699292,0,95398
reliability,Reliability $0.990$,fixed_reliability,0.99,DMDCA,mdca,10,"Alabama,Arizona",14041,602309.8789504298,284080.29000000004,42.89650872091944,20.232197849156044,2.120210025660104,2.1220391774916134,0.1918335168641285,1404.1,15.172110612714516,42.94026067374,3.9208150715773815,20.23232305664896,0.14387765116987894,25568,95547
reliability,Reliability $0.996$,fixed_reliability,0.996,MDCA,mdca,10,"Alabama,Arizona",13988,773084.2416175519,338261.1400000001,55.267675265767224,24.182237632256225,2.2854657251422723,2.298176718896408,0.2110379637407843,1398.8,26.52372408911606,55.395895010050005,4.42162854954626,24.169330526850665,0.35474329650577313,0,106695
reliability,Reliability $0.996$,fixed_reliability,0.996,DMDCA,mdca,10,"Alabama,Arizona",14137,728288.0736090818,325645.46000000014,51.516451411832904,23.034976303317546,2.236444732283636,2.242685901749348,0.20875973576811407,1413.7,16.916287535981407,51.570872289650005,4.441298037387601,23.031264933709252,0.21950250759226606,25754,108478
reliability,Reliability $0.999$,fixed_reliability,0.999,MDCA,mdca,10,"Alabama,Arizona",9201,419559.6858513637,216724.25000000003,45.599357227623486,23.55442343223563,1.9359148127233738,1.935140565415607,0.14819331088108562,920.1,15.464691195681139,45.59013927444,3.586448660460219,23.552965828606414,0.30152178924007084,0,67723
reliability,Reliability $0.999$,fixed_reliability,0.999,DMDCA,mdca,10,"Alabama,Arizona",11207,574728.0730841177,277185.80666666676,51.28295467869347,24.733274441569264,2.0734397622864726,2.0769408216031784,0.17008625478985975,1120.7,15.622865351073653,51.34214641671,4.08999215126034,24.73387722500255,0.2511180413093958,21598,91692
