experiment,region,x_name,x_value,seed,method_count,trace_hash_nunique,arrivals_per_slot_nunique,total_arrivals_nunique,trace_consistent
k_sweep,Arizona,cloudlet_count,50.0,1,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,50.0,2,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,50.0,3,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,50.0,4,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,50.0,5,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,100.0,1,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,100.0,2,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,100.0,3,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,100.0,4,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,100.0,5,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,200.0,1,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,200.0,2,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,200.0,3,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,200.0,4,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,200.0,5,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,314.0,1,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,314.0,2,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,314.0,3,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,314.0,4,2,1,1,1,True
k_sweep,Arizona,cloudlet_count,314.0,5,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,1.0,1,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,1.0,2,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,1.0,3,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,1.0,4,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,1.0,5,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,3.0,1,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,3.0,2,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,3.0,3,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,3.0,4,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,3.0,5,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,6.0,1,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,6.0,2,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,6.0,3,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,6.0,4,2,1,1,1,True
length_sweep,Arizona,fixed_sfc_len,6.0,5,2,1,1,1,True
load_sweep,Alabama,arrival_rate,10.0,1,2,1,1,1,True
load_sweep,Alabama,arrival_rate,10.0,2,2,1,1,1,True
load_sweep,Alabama,arrival_rate,10.0,3,2,1,1,1,True
load_sweep,Alabama,arrival_rate,10.0,4,2,1,1,1,True
load_sweep,Alabama,arrival_rate,10.0,5,2,1,1,1,True
load_sweep,Alabama,arrival_rate,30.0,1,2,1,1,1,True
load_sweep,Alabama,arrival_rate,30.0,2,2,1,1,1,True
load_sweep,Alabama,arrival_rate,30.0,3,2,1,1,1,True
load_sweep,Alabama,arrival_rate,30.0,4,2,1,1,1,True
load_sweep,Alabama,arrival_rate,30.0,5,2,1,1,1,True
load_sweep,Alabama,arrival_rate,50.0,1,2,1,1,1,True
load_sweep,Alabama,arrival_rate,50.0,2,2,1,1,1,True
load_sweep,Alabama,arrival_rate,50.0,3,2,1,1,1,True
load_sweep,Alabama,arrival_rate,50.0,4,2,1,1,1,True
load_sweep,Alabama,arrival_rate,50.0,5,2,1,1,1,True
load_sweep,Arizona,arrival_rate,10.0,1,2,1,1,1,True
load_sweep,Arizona,arrival_rate,10.0,2,2,1,1,1,True
load_sweep,Arizona,arrival_rate,10.0,3,2,1,1,1,True
load_sweep,Arizona,arrival_rate,10.0,4,2,1,1,1,True
load_sweep,Arizona,arrival_rate,10.0,5,2,1,1,1,True
load_sweep,Arizona,arrival_rate,30.0,1,2,1,1,1,True
load_sweep,Arizona,arrival_rate,30.0,2,2,1,1,1,True
load_sweep,Arizona,arrival_rate,30.0,3,2,1,1,1,True
load_sweep,Arizona,arrival_rate,30.0,4,2,1,1,1,True
load_sweep,Arizona,arrival_rate,30.0,5,2,1,1,1,True
load_sweep,Arizona,arrival_rate,50.0,1,2,1,1,1,True
load_sweep,Arizona,arrival_rate,50.0,2,2,1,1,1,True
load_sweep,Arizona,arrival_rate,50.0,3,2,1,1,1,True
load_sweep,Arizona,arrival_rate,50.0,4,2,1,1,1,True
load_sweep,Arizona,arrival_rate,50.0,5,2,1,1,1,True
