region,fixed_reliability,seed,arrivals_per_slot_key_nunique,total_arrivals_nunique,base_arrivals_consistent
Alabama,0.996,1,1,1,True
Alabama,0.996,2,1,1,True
Alabama,0.996,3,1,1,True
Alabama,0.996,4,1,1,True
Alabama,0.996,5,1,1,True
Alabama,0.998,1,1,1,True
Alabama,0.998,2,1,1,True
Alabama,0.998,3,1,1,True
Alabama,0.998,4,1,1,True
Alabama,0.998,5,1,1,True
Alabama,0.999,1,1,1,True
Alabama,0.999,2,1,1,True
Alabama,0.999,3,1,1,True
Alabama,0.999,4,1,1,True
Alabama,0.999,5,1,1,True
Arizona,0.996,1,1,1,True
Arizona,0.996,2,1,1,True
Arizona,0.996,3,1,1,True
Arizona,0.996,4,1,1,True
Arizona,0.996,5,1,1,True
Arizona,0.998,1,1,1,True
Arizona,0.998,2,1,1,True
Arizona,0.998,3,1,1,True
Arizona,0.998,4,1,1,True
Arizona,0.998,5,1,1,True
Arizona,0.999,1,1,1,True
Arizona,0.999,2,1,1,True
Arizona,0.999,3,1,1,True
Arizona,0.999,4,1,1,True
Arizona,0.999,5,1,1,True
